region,eco_count,eco_total,eco_ratio,large_count,large_total,large_ratio,female_count,male_count,female_ratio,import_count,import_total,import_ratio,persona_code
서울,923664,6310454,14.64,953279,5539776,17.21,727530,1994153,26.73,1450658,6310454,22.99,ELMI
부산,575532,3169708,18.16,431734,2715592,15.9,317494,868886,26.76,639162,3169708,20.16,ELMI
대구,351634,2534398,13.87,345641,2159046,16.01,306254,800595,27.67,407420,2534398,16.08,GLFI
인천,701492,3522120,19.92,448798,3031298,14.81,345730,905082,27.64,630270,3522120,17.89,ELFI
광주,184996,1460112,12.67,192307,1238470,15.53,198603,452585,30.5,184572,1460112,12.64,GLFI
대전,204922,1498508,13.68,178695,1290968,13.84,189319,466664,28.86,180738,1498508,12.06,GSFI
울산,171154,1226048,13.96,155045,1046192,14.82,132455,428469,23.61,101942,1226048,8.31,GLMD
세종,72110,411466,17.53,50783,367952,13.8,55451,136974,28.82,62042,411466,15.08,ESFI
경기,1909904,13513016,14.13,1683446,11419656,14.74,1667875,4357093,27.68,2027160,13513016,15.0,ESFI
강원,203162,1765666,11.51,182559,1378428,13.24,230050,585573,28.21,167206,1765666,9.47,GSFD
충북,237832,1927538,12.34,211957,1531226,13.84,237759,637180,27.17,177008,1927538,9.18,GSMD
충남,302920,2597254,11.66,296393,2036246,14.56,309631,872946,26.18,230054,2597254,8.86,GSMD
전북,227690,2019186,11.28,225737,1564358,14.43,255536,662214,27.84,184686,2019186,9.15,GSFD
전남,385880,2666036,14.47,306910,2059708,14.9,255801,727531,26.01,189072,2666036,7.09,ELMD
경북,322804,3139700,10.28,350993,2385672,14.71,364374,1076464,25.29,251908,3139700,8.02,GSMD
경남,592012,4063224,14.57,483380,3354702,14.41,441194,1224730,26.48,477466,4063224,11.75,ESMD
제주,360270,1462492,24.63,193049,1239818,15.57,115840,238840,32.66,109690,1462492,7.5,ELFD
